n_over_m,sparsity,frequency,condition,seed,feature,importance,imp_rank,w_norm,D_i,I_i,late_top1evr,late_pr
2,0.8,0.2,baseline,0,0,2.2768068313598633,0,1.2402334213256836,0.4970605969429016,0.05552157759666443,0.29159972071647644,6.349809646606445
2,0.8,0.2,baseline,0,1,2.049126148223877,1,1.1817131042480469,0.5087412595748901,0.055596936494112015,0.3103175759315491,6.028350353240967
2,0.8,0.2,baseline,0,2,1.8442133665084839,2,1.2881896495819092,0.5445354580879211,0.053489841520786285,0.2666858434677124,6.635589122772217
2,0.8,0.2,baseline,0,3,1.6597919464111328,3,1.2812713384628296,0.5082149505615234,0.05454830080270767,0.265442430973053,6.6446332931518555
2,0.8,0.2,baseline,0,4,1.4938127994537354,4,1.275713562965393,0.4918763041496277,0.05523340404033661,0.2737123966217041,6.54929780960083
2,0.8,0.2,baseline,0,5,1.3444315195083618,5,1.2170894145965576,0.4785016179084778,0.05559062957763672,0.286876380443573,6.370258331298828
2,0.8,0.2,baseline,0,6,1.2099883556365967,6,1.4427324533462524,0.5230309963226318,0.06079326197504997,0.2631911039352417,7.099627494812012
2,0.8,0.2,baseline,0,7,1.088989496231079,7,1.262330174446106,0.481733113527298,0.055235229432582855,0.2559128999710083,6.891293048858643
2,0.8,0.2,baseline,0,8,0.9800904989242554,8,1.146340250968933,0.4787132441997528,0.055520761758089066,0.3132348656654358,6.0377373695373535
2,0.8,0.2,baseline,0,9,0.8820813894271851,9,1.4628807306289673,0.49493473768234253,0.05825887992978096,0.2421555370092392,7.494051933288574
2,0.8,0.2,baseline,0,10,0.7938732504844666,10,1.5093543529510498,0.5029572248458862,0.057105377316474915,0.24179479479789734,7.494866847991943
2,0.8,0.2,baseline,0,11,0.7144858837127686,11,1.2333531379699707,0.47043105959892273,0.054668813943862915,0.2586476504802704,6.666501522064209
2,0.8,0.2,baseline,0,12,0.6430373191833496,12,1.4468868970870972,0.4843931794166565,0.05812988057732582,0.24678301811218262,7.34316873550415
2,0.8,0.2,baseline,0,13,0.578733503818512,13,1.486538052558899,0.4879665672779083,0.056937504559755325,0.26031064987182617,7.1952619552612305
