feature,reliance_freq,mean_act,interference,self_effect,collateral,n_active_tok
3,0.005314960610121489,12.182425498962402,0.0021133276168257,-0.04782925546169281,0.012757346965372562,27
18,0.04133858159184456,7.174292087554932,0.0021965443156659603,-0.022272100672125816,0.005066420417279005,210
36,0.005905511789023876,13.09660530090332,0.0021517674904316664,-0.040511053055524826,-0.0013460441259667277,30
55,0.0074803149327635765,17.115253448486328,0.003455748315900564,8.210395812988281,0.44285696744918823,38
78,0.010629921220242977,8.21151351928711,0.0031707852613180876,0.19300688803195953,0.006860352586954832,54
96,0.024803150445222855,5.454456329345703,0.0031670283060520887,-0.006612818688154221,-0.001495004747994244,126
129,0.005511811003088951,15.825575828552246,0.0013510549906641245,0.19505885243415833,0.008052598685026169,28
145,0.017125984653830528,4.093045234680176,0.001086945878341794,-0.029295844957232475,-0.0016129625728353858,87
159,0.013385826721787453,4.796141624450684,0.001476885168813169,0.09770337492227554,0.0027825499419122934,68
188,0.006692913360893726,12.670236587524414,0.0017630438087508082,0.07725872844457626,0.027553914114832878,34
205,0.005511811003088951,6.383147239685059,0.0020838528871536255,0.009951923973858356,0.027278505265712738,28
239,0.03799212723970413,5.436399459838867,0.0024375414941459894,0.0029186925385147333,0.048632193356752396,193
256,0.029921259731054306,5.5448737144470215,0.002201481955125928,0.0025305007584393024,0.0006502617616206408,152
272,0.011417322792112827,14.294355392456055,0.0013531456934288144,-0.05824191868305206,0.0035637791734188795,58
293,0.013188976794481277,5.642200469970703,0.0021740016527473927,-0.03343359753489494,0.0002172076201532036,67
308,0.006496062967926264,13.983525276184082,0.002021199092268944,-0.05009059980511665,0.0072839148342609406,33
331,0.027559055015444756,5.972821235656738,0.0027196528390049934,0.025026418268680573,0.008566426113247871,140
343,0.010629921220242977,9.183903694152832,0.0036389215383678675,0.004519778303802013,0.002803308889269829,54
364,0.010039370507001877,6.042474269866943,0.0015578863676637411,0.015944261103868484,0.00011090777115896344,51
381,0.006692913360893726,6.893538475036621,0.0020921197719872,-0.0207961592823267,0.0032320518512278795,34
401,0.011417322792112827,5.011323928833008,0.0015664908569306135,-0.011299025267362595,0.0011082383571192622,58
422,0.012204724363982677,6.085941791534424,0.0025532697327435017,0.0025000409223139286,0.016799403354525566,62
446,0.017716536298394203,6.662304878234863,0.0025665792636573315,0.000953363545704633,-0.0015752046601846814,90
473,0.06732283532619476,4.408728122711182,0.0025521856732666492,-0.001217094250023365,0.0015465146861970425,342
491,0.026771653443574905,7.282527923583984,0.0021591130644083023,0.019327886402606964,-0.008203398436307907,136
517,0.007874015718698502,425.9734802246094,0.0015079203294590116,0.2835135757923126,0.037151020020246506,40
536,0.006692913360893726,9.292396545410156,0.0021222662180662155,0.012988490052521229,0.03348439186811447,34
555,0.011220472864806652,4.137781620025635,0.002005763351917267,0.006649394985288382,0.007902595214545727,57
575,0.01594488136470318,8.580036163330078,0.0019769640639424324,0.07220231741666794,0.00014729556278325617,81
600,0.02303149551153183,4.518507957458496,0.002233275445178151,-0.029240421950817108,-0.0019760499708354473,117
612,0.04803149774670601,6.016007423400879,0.0018407694296911359,0.020168980583548546,-0.0010119888465851545,244
627,0.007283464539796114,4.564622402191162,0.002979540964588523,-0.041111528873443604,0.005100442562252283,37
641,0.008858268149197102,8.232168197631836,0.002550694392994046,0.1618557870388031,0.00416461331769824,45
652,0.011614173650741577,5.192152976989746,0.0019939052872359753,-0.017727073282003403,-0.00095350481569767,59
665,0.011023622006177902,6.168532371520996,0.0016102052759379148,0.008231795392930508,0.0026322382036596537,56
674,0.02263779565691948,4.119397163391113,0.004632370546460152,0.08546039462089539,0.020380837842822075,115
690,0.021653544157743454,18.275083541870117,0.003222551429644227,0.07248858362436295,0.02372380718588829,110
708,0.05590551346540451,4.878328800201416,0.003642869181931019,-0.009328125976026058,0.027563367038965225,284
733,0.005118110217154026,6.432823657989502,0.002007636008784175,-0.0057805622927844524,0.023624686524271965,26
745,0.015551181510090828,6.5714311599731445,0.002827930497005582,-0.009387980215251446,0.012984789907932281,79
763,0.009251968935132027,12.410274505615234,0.0020826291292905807,-0.00019251539197284728,0.0020809578709304333,47
788,0.016929134726524353,5.449500560760498,0.002299200976267457,-0.0008992386283352971,0.003993619699031115,86
812,0.006889763753861189,8.331001281738281,0.0015671978471800685,-0.03177950158715248,0.004225863143801689,35
832,0.012795276008546352,5.861922264099121,0.0024851313792169094,0.00836914498358965,-0.0007995706400834024,65
848,0.012992125935852528,9.72032356262207,0.001830653753131628,0.07132353633642197,-0.00040473369881510735,66
864,0.040748029947280884,7.657770156860352,0.0027686432003974915,0.00980838481336832,0.003034676657989621,207
885,0.03897637873888016,4.698825836181641,0.0023703970946371555,0.010301156900823116,0.05386730283498764,198
898,0.008070866577327251,13.531330108642578,0.0015125261852517724,0.11929012089967728,0.03013823740184307,41
916,0.005905511789023876,8.169864654541016,0.002058674581348896,0.0072266776114702225,0.009906419552862644,30
944,0.027165355160832405,7.503775119781494,0.004797867964953184,0.25144603848457336,0.026841938495635986,138
969,0.052165355533361435,4.550944805145264,0.0026611285284161568,-0.002477118046954274,0.0054387664422392845,265
997,0.024803150445222855,4.801701068878174,0.002464967081323266,0.005223440937697887,0.013248910196125507,126
1017,0.023228347301483154,8.016071319580078,0.002536526881158352,0.0282712634652853,0.01074750442057848,118
1036,0.048228345811367035,10.652178764343262,0.002023705281317234,0.14013998210430145,0.003946979995816946,245
1061,0.006496062967926264,8.46222972869873,0.0021525188349187374,-0.011328935623168945,0.011799722909927368,33
1075,0.01870078779757023,7.910528182983398,0.004111353307962418,0.08252917975187302,0.0007463162182830274,95
1100,0.04291338473558426,19.144521713256836,0.00404745526611805,0.2939078211784363,0.044193707406520844,218
1121,0.012007874436676502,7.211010456085205,0.002213628264144063,-0.005819675512611866,-0.0011533189099282026,61
1136,0.005905511789023876,5.090654373168945,0.0016118304338306189,-0.02187737450003624,-0.00230494886636734,30
1154,0.07204724103212357,7.875770568847656,0.0008317691972479224,0.00696397852152586,0.003164560766890645,366
1177,0.005118110217154026,5.988284587860107,0.001840104116126895,-0.0165634173899889,0.004710053559392691,26
1200,0.012007874436676502,5.004602432250977,0.0020414567552506924,0.03944781422615051,0.00022085597447585315,61
1213,0.005118110217154026,7.1198015213012695,0.0019439798779785633,0.017569836229085922,0.015416650101542473,26
1236,0.013385826721787453,7.529959201812744,0.0031182512175291777,0.0794985368847847,0.008043716661632061,68
1263,0.006692913360893726,3.4597959518432617,0.0014622447779402137,4.822497794521041e-05,-0.0008903520065359771,34
1280,0.008858268149197102,7.578145503997803,0.002143700374290347,-0.020060895010828972,0.001452143187634647,45
1296,0.12086614221334457,5.246255874633789,0.0018421885324642062,0.010871355421841145,0.008879711851477623,614
1312,0.021653544157743454,6.069838047027588,0.0032333277631551027,0.03569553419947624,0.0011436070781201124,110
1333,0.008070866577327251,7.441712856292725,0.0019613781478255987,0.07636355608701706,0.014127243310213089,41
1352,0.01594488136470318,9.068140983581543,0.002316707046702504,0.04062100872397423,0.005769473500549793,81
1366,0.014173228293657303,5.797101974487305,0.0022415302228182554,-0.0024404909927397966,-0.005801402498036623,72
1383,0.022047244012355804,5.420231819152832,0.002066518645733595,0.07128064334392548,0.002688707085326314,112
1396,0.008070866577327251,344.2639465332031,0.0016954317688941956,2.711484670639038,0.06707875430583954,41
1417,0.006496062967926264,8.09517765045166,0.0022289648186415434,-0.005474209785461426,0.006297252140939236,33
1432,0.01751968450844288,9.490750312805176,0.001906867604702711,-0.005389413796365261,0.0050169192254543304,89
1457,0.007283464539796114,4.4878435134887695,0.0022531873546540737,0.008638850413262844,0.00028764596208930016,37
1482,0.005905511789023876,8.058485984802246,0.0019047921523451805,-0.07189527153968811,0.002505204174667597,30
1504,0.02775590494275093,7.007699012756348,0.003374275751411915,0.019275890663266182,0.007820446975529194,141
1523,0.019291339442133904,6.704713821411133,0.0036361783277243376,0.16463977098464966,0.027979636564850807,98
1545,0.021259842440485954,3.2381606101989746,0.0030382319819182158,0.0008142609731294215,0.021657690405845642,108
1566,0.005314960610121489,10.604853630065918,0.0026154001243412495,0.13331229984760284,0.02495625615119934,27
1582,0.014566929079592228,12.312769889831543,0.0018683468224480748,0.0971808061003685,0.01719951070845127,74
1600,0.012795276008546352,5.334734916687012,0.0026085516437888145,-0.016626890748739243,0.006485935300588608,65
1616,0.02657480351626873,7.247642993927002,0.0023873066529631615,-0.003670712234452367,0.02381940186023712,135
1631,0.12874016165733337,6.118993759155273,0.0011644687037914991,0.018839241936802864,0.005120125133544207,654
1651,0.007086614146828651,10.912945747375488,0.0013304789317771792,-0.034016262739896774,0.001892899046652019,36
1672,0.011023622006177902,4.756308555603027,0.0022498168982565403,-0.00926925428211689,0.0013344387989491224,56
1696,0.006692913360893726,18.54476547241211,0.0030454080551862717,0.11232475936412811,0.001210241112858057,34
1711,0.005118110217154026,10.611783981323242,0.001729658106341958,0.013682050630450249,0.004972140304744244,26
1722,0.008858268149197102,13.034016609191895,0.0018111079698428512,0.022176459431648254,-0.0001176642908831127,45
1738,0.010236220434308052,7.320128440856934,0.002052556024864316,0.10464974492788315,0.0017954208888113499,52
1760,0.04153543338179588,4.481742858886719,0.003375391010195017,0.08921809494495392,0.004051171708852053,211
1779,0.007283464539796114,8.741958618164062,0.0021292942110449076,0.0015285257250070572,0.028237391263246536,37
1799,0.014173228293657303,5.578649044036865,0.00389693072065711,0.15744440257549286,-0.007755429018288851,72
1810,0.007874015718698502,11.576048851013184,0.003562959609553218,0.4060884416103363,0.011571817100048065,40
1835,0.011220472864806652,6.9738240242004395,0.00482374569401145,0.1333528459072113,0.009397131390869617,57
1853,0.029133858159184456,5.879634380340576,0.0037471905816346407,0.09558437764644623,0.0841195359826088,148
1871,0.005708661396056414,4.861383438110352,0.0026027101557701826,0.028293726965785027,0.00041053214226849377,29
1887,0.02263779565691948,7.478567123413086,0.0033677839674055576,0.09692246466875076,-0.0016036555171012878,115
1905,0.018897637724876404,5.2753753662109375,0.0014573958469554782,0.0287469569593668,0.003678105305880308,96
1918,0.012795276008546352,5.665314674377441,0.0015682678204029799,0.013579264283180237,0.0025727010797709227,65
1938,0.014763779938220978,7.507711410522461,0.001646696007810533,0.016147572547197342,-0.0011011897586286068,75
1953,0.009251968935132027,8.47713565826416,0.002044756431132555,0.029075657948851585,0.012196732684969902,47
1972,0.03976377844810486,4.680252552032471,0.0019886852242052555,0.006990451831370592,-0.004486801568418741,202
2001,0.009842519648373127,8.010695457458496,0.0018296486232429743,0.07752109318971634,0.007443351671099663,50
2021,0.009055118076503277,9.319372177124023,0.002427280182018876,0.10178757458925247,-0.00034688643063418567,46
2049,0.010433071292936802,8.021870613098145,0.002566370414569974,0.05577148497104645,0.03517363220453262,53
2068,0.009645669721066952,6.701712608337402,0.0017483994597569108,0.007398327812552452,0.010775858536362648,49
2085,0.005314960610121489,14.383003234863281,0.0024712029844522476,0.29275575280189514,-0.006180255673825741,27
2107,0.01870078779757023,8.060669898986816,0.001973311882466078,0.02321430668234825,0.006657342426478863,95
2121,0.01948818936944008,6.8017401695251465,0.002627298003062606,-0.014813206158578396,0.00707404175773263,99
2134,0.01909448765218258,6.599011421203613,0.0028099052142351866,0.05920473113656044,-0.0005273388233035803,97
2147,0.009645669721066952,8.945060729980469,0.0023147412575781345,-0.0032987059094011784,0.00398883456364274,49
2175,0.02972440980374813,4.64806604385376,0.00402153842151165,-0.007334781810641289,0.015192413702607155,151
2187,0.011417322792112827,6.180861473083496,0.00232332875020802,-0.015803752467036247,0.0008679279708303511,58
2205,0.02106299251317978,9.078509330749512,0.004606570117175579,0.3450450599193573,0.016869619488716125,107
2227,0.012204724363982677,6.920335292816162,0.0026352100539952517,0.012214475311338902,0.013820597901940346,62
2244,0.006299212574958801,11.129505157470703,0.002282046712934971,0.021709993481636047,-0.0003124868089798838,32
