seed,op,op_idx,freq,pr_baseline,pr_lat,d_pr_lat,embnorm_baseline,embnorm_lat,d_embnorm_lat
0,add,0,0.4062,1.034701943397522,1.0996284484863281,0.06492650508880615,11.673652648925781,11.698468208312988,0.02481555938720703
0,sub,1,0.25,1.2569462060928345,1.4356048107147217,0.1786586046218872,11.667065620422363,11.707664489746094,0.04059886932373047
0,mul,2,0.1562,1.2824939489364624,1.5291123390197754,0.246618390083313,10.254505157470703,10.3212308883667,0.0667257308959961
0,lin,3,0.0938,1.8299980163574219,2.1096930503845215,0.2796950340270996,10.31055736541748,10.405269622802734,0.0947122573852539
0,max,4,0.0625,1.8549180030822754,2.1170480251312256,0.2621300220489502,10.581127166748047,10.6414213180542,0.060294151306152344
0,min,5,0.0312,1.4218653440475464,1.659551739692688,0.2376863956451416,11.506068229675293,11.597576141357422,0.0915079116821289
1,add,0,0.4062,1.1408573389053345,1.1834672689437866,0.04260993003845215,11.24111557006836,11.29294204711914,0.05182647705078125
1,sub,1,0.25,1.1072499752044678,1.187494158744812,0.08024418354034424,10.988106727600098,11.053464889526367,0.06535816192626953
1,mul,2,0.1562,1.0943248271942139,1.125207543373108,0.030882716178894043,12.200803756713867,12.234292984008789,0.033489227294921875
1,lin,3,0.0938,1.2720842361450195,1.4904016256332397,0.21831738948822021,12.426445960998535,12.523903846740723,0.0974578857421875
1,max,4,0.0625,1.0752779245376587,1.1369843482971191,0.06170642375946045,12.424064636230469,12.461654663085938,0.03759002685546875
1,min,5,0.0312,1.176039218902588,1.2754160165786743,0.09937679767608643,11.405502319335938,11.529748916625977,0.12424659729003906
2,add,0,0.4062,1.2894059419631958,1.4709241390228271,0.18151819705963135,10.719518661499023,10.752119064331055,0.03260040283203125
2,sub,1,0.25,1.154638409614563,1.342566728591919,0.18792831897735596,11.692903518676758,11.735624313354492,0.042720794677734375
2,mul,2,0.1562,1.189258337020874,1.4499582052230835,0.2606998682022095,10.712008476257324,10.766619682312012,0.0546112060546875
2,lin,3,0.0938,1.809889554977417,2.3481454849243164,0.5382559299468994,12.105834007263184,12.178478240966797,0.07264423370361328
2,max,4,0.0625,1.2223652601242065,1.3608664274215698,0.13850116729736328,11.697603225708008,11.773545265197754,0.0759420394897461
2,min,5,0.0312,1.2616913318634033,1.5168676376342773,0.255176305770874,10.855202674865723,10.938284873962402,0.08308219909667969
