n_over_m,sparsity,condition,r_set1_mean,r_set1_std,r_set2_mean,r_set2_std,pr_mean,pr_std,sat_set2,nobs
2,0.8,baseline,0.13871524064393523,0.023980069005282764,0.5517775674214523,0.0945840039107592,6.274637099062459,0.9794723460721022,0.0,89
2,0.8,input_at,0.13720133547217414,0.030791651958812637,0.5464545499819976,0.11849300039751927,5.608783150330568,1.2481698384337936,0.0,78
2,0.8,lat,0.2133267956611874,0.04196532852901351,0.862317178930555,0.19852313796709753,6.509273885370611,1.0327841400637772,0.0,91
2,0.9,baseline,0.1270377007871866,0.014410734011013174,0.508935678601265,0.05688691762971325,4.853815236091614,0.7510365226195589,0.0,100
2,0.9,input_at,0.12908478049180838,0.017896269684159024,0.5182937396469937,0.07154338191472864,4.658576406458373,1.0549630701626453,0.0,93
2,0.9,lat,0.18531060625206336,0.02270805221198041,0.7448332267578202,0.09216259448134588,4.976735514823837,0.872073102857917,0.0,99
2,0.99,baseline,0.11181700266897675,0.013247397546492927,0.4254068720340729,0.03495556311778601,1.3829716169834136,0.17681718939151303,0.0,100
2,0.99,input_at,0.1133093379437923,0.01223481469021523,0.43117423802614213,0.03423072862962252,1.374793246984482,0.15097887686940942,0.0,100
2,0.99,lat,0.17431961417198177,0.024467275447805893,0.622833286523819,0.07681930802562754,1.38561954498291,0.16949867481402253,0.0,100
4,0.8,baseline,0.14762130307574423,0.026890155123045847,0.5929990853032758,0.11342895973265017,6.391928934281872,0.8965698137194332,0.0,93
4,0.8,input_at,0.1792567483662219,0.16241763833882705,0.7209581833207206,0.6986666888331879,5.914924329586244,1.1441866359439423,0.0,89
4,0.8,lat,0.22507986838513228,0.05519321880925043,0.9212358581258896,0.27353778538801404,6.636307092423134,1.172254097172934,0.0,94
4,0.9,baseline,0.1395206047960047,0.030859142164889303,0.5600722620509705,0.1524141006915918,4.996073632870081,0.9614597950144284,0.0,106
4,0.9,input_at,0.14037213512141292,0.03934328251237877,0.5778581837210992,0.21554153547937163,4.91034330502905,1.3689819232615792,0.0,99
4,0.9,lat,0.20916792211078458,0.06133879948143673,0.8582568645477295,0.3245922180706461,5.157873448871431,1.2007336052909092,0.0,105
4,0.99,baseline,0.21247703220695255,0.6609009421654248,0.5388831405341625,0.38613178279941107,1.9657806360721588,0.6596962295880245,0.0,200
4,0.99,input_at,0.14255650151392504,0.08704599929471867,0.5255649537875735,0.24198428350850282,1.6729952508005603,0.5720203953220167,0.0,145
4,0.99,lat,0.6181021729031124,2.222973349954033,1.425178388647131,2.573371382013563,2.0307662912317226,0.9902012912103736,0.046621621621621624,185
8,0.8,baseline,1.440783109843731,5.739166552182581,2.0902316339015963,5.274016449623229,6.471703617095947,0.9076455342414425,0.032,125
8,0.8,input_at,11.056962958209112,16.496587793017454,4.841103208736635,5.520318653549547,5.624515771865845,0.8735445558028809,0.004694835680751174,213
8,0.8,lat,5.472401801965193,15.202572026438617,6.0351128831595,11.005206298476434,7.502357879798569,1.2882500469851674,0.03592814371257485,167
8,0.9,baseline,1.2471173291956936,4.1849196748446165,2.3654939148161147,4.629111370516796,5.426438940895928,1.1890575413308448,0.04814814814814815,135
8,0.9,input_at,1.2473299579901829,3.8781765141823064,3.1702532110114894,5.156554741809589,5.202954123417537,1.2638144038480261,0.078125,144
8,0.9,lat,4.370349983987096,8.535632467879568,5.927478540640373,8.953178388640731,5.926733345180363,1.4482148823766459,0.12337662337662338,154
8,0.99,baseline,1.7275600441731513,3.4959180878130467,1.56874849225084,2.4587771329531414,2.4658506378531455,1.360956351150429,0.06354166666666666,240
8,0.99,input_at,3.27687459495483,4.091270993863291,2.004395477097444,2.5509923171224416,2.3148851677624864,1.1839582974604428,0.07575757575757576,198
8,0.99,lat,1.7749620450074683,3.4800480319628115,2.207156932829691,2.971603777741,2.515459034364548,1.537635731489668,0.06924882629107981,213
