seed,condition,clean_acc,adv_acc_emb,adv_acc_resid
0,baseline,1.0,0.23668639361858368,0.3254437744617462
0,input_at,0.9990137815475464,0.9852070808410645,0.973372757434845
0,lat,1.0,0.5049309730529785,1.0
1,baseline,1.0,0.20216962695121765,0.3007889688014984
1,input_at,0.9960552453994751,0.9220907092094421,0.7682445645332336
1,lat,1.0,0.5463510751724243,0.9990137815475464
2,baseline,1.0,0.18047337234020233,0.29289939999580383
2,input_at,0.9990137815475464,0.9546350836753845,0.8737672567367554
2,lat,1.0,0.4132149815559387,0.9960552453994751
