n_over_m,sparsity,D_base,D_lat,dD_lat_minus_base,dD_seeds_pos,I_base,I_lat,dI_lat_minus_base,dI_seeds_neg,n_seeds,lat_concentrates
2,0.8,0.4524813055992126,0.48743447065353396,0.03495316505432129,5,0.07008431181311604,0.06718692183494566,-0.0028973899781703795,3,5,True
2,0.9,0.4508767664432526,0.4800637006759644,0.02918693423271177,5,0.06466060131788247,0.0572160348296165,-0.00744456648826598,5,5,True
2,0.99,0.4309429168701172,0.45255212783813475,0.021609210968017566,5,0.0693543568253517,0.06418257951736447,-0.005171777307987219,5,5,True
4,0.8,0.22184832692146297,0.24314310252666468,0.0212947756052017,5,0.24661927819252014,0.17627647370100016,-0.07034280449151994,4,5,True
4,0.9,0.2260350078344345,0.2367956936359405,0.010760685801506015,5,0.14011804908514022,0.11598541587591167,-0.024132633209228555,3,5,True
4,0.99,0.22692848742008204,0.23761360049247743,0.010685113072395358,5,0.09229424297809598,0.08966831713914869,-0.002625925838947299,4,5,True
8,0.8,0.10984962880611415,0.11591252535581587,0.006062896549701702,4,0.3229324549436569,0.3369485855102539,0.014016130566596997,3,5,False
8,0.9,0.11122533977031704,0.11525726616382595,0.0040319263935089,5,0.25601729452610017,0.2927608996629715,0.03674360513687131,2,5,False
8,0.99,0.1118092000484466,0.11808934956789012,0.0062801495194435035,5,0.19976323992013928,0.21153120696544642,0.011767967045307179,1,5,False
