n_over_m,sparsity,condition,seed,newfeat,grad_norm_init,fvu_new_end,fvu_old_start,fvu_old_end,forgetting,reach_traj,clean_traj
8,0.9,input_at,4,76,0.2901698052883148,0.0031179573852568865,0.7294657230377197,0.734729528427124,0.005263805389404297,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1
8,0.9,input_at,4,77,0.04248765483498573,0.0018453426891937852,0.7354400157928467,0.7397720813751221,0.004332065582275391,0:0;25:0;50:0;75:0;100:0;150:1;250:1;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:1;250:1;400:1;700:1;1100:1;1500:1
8,0.9,input_at,4,78,2.8526997566223145,0.0033207826782017946,0.7348096370697021,0.7389047145843506,0.0040950775146484375,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1
8,0.9,input_at,4,79,1.879096269607544,0.0033694047015160322,0.7364266514778137,0.7398520708084106,0.003425419330596924,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1
8,0.9,lat,0,74,0.33197855949401855,0.03923100605607033,0.7005565762519836,0.7127248644828796,0.012168288230895996,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1
8,0.9,lat,0,75,0.2891124486923218,0.004858182277530432,0.6982980370521545,0.7162531018257141,0.01795506477355957,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1
8,0.9,lat,0,76,0.8238328695297241,0.005988737568259239,0.7031031847000122,0.7192228436470032,0.016119658946990967,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,0,77,0.28255340456962585,0.006307125557214022,0.7029465436935425,0.7200729846954346,0.01712644100189209,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1
8,0.9,lat,0,78,0.3052292764186859,0.005959904752671719,0.6988745927810669,0.7179100513458252,0.0190354585647583,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1
8,0.9,lat,0,79,0.4064702093601227,0.007837730459868908,0.7008352279663086,0.7207773923873901,0.019942164421081543,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:1;400:1;700:1;1100:1;1500:1
8,0.9,lat,1,74,5.435432434082031,0.006228090263903141,0.6973064541816711,0.7218241095542908,0.02451765537261963,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:0;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:0;700:1;1100:1;1500:1
8,0.9,lat,1,75,0.23438528180122375,0.005631336476653814,0.6982868909835815,0.7213910818099976,0.023104190826416016,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,1,76,0.27651458978652954,0.010931702330708504,0.6942384243011475,0.7170007824897766,0.02276235818862915,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,1,77,0.2034684717655182,0.003869609674438834,0.6972057223320007,0.7204070687294006,0.023201346397399902,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,1,78,1.0042890310287476,0.005309102591127157,0.6947759389877319,0.7177081108093262,0.02293217182159424,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,1,79,1.0272916555404663,0.003532692790031433,0.6945197582244873,0.7185818552970886,0.02406209707260132,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:0;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:0;700:1;1100:1;1500:1
8,0.9,lat,2,74,3.032334327697754,0.004975182004272938,0.6966982483863831,0.7210197448730469,0.02432149648666382,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,2,75,0.13447846472263336,0.004723393823951483,0.6955886483192444,0.7209241986274719,0.02533555030822754,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,2,76,4.431951999664307,0.0054076435044407845,0.6972347497940063,0.7241200804710388,0.02688533067703247,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:0;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:0;700:1;1100:1;1500:1
8,0.9,lat,2,77,1.5633248090744019,0.0074796960689127445,0.7002813816070557,0.7255589365959167,0.025277554988861084,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,2,78,0.08917061984539032,0.005667440127581358,0.6950622200965881,0.7216010093688965,0.02653878927230835,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,2,79,0.08587086200714111,0.02150368131697178,0.695891261100769,0.7155637145042419,0.0196724534034729,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:0;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:0;700:1;1100:1;1500:1
8,0.9,lat,3,74,0.9059404134750366,0.004190517123788595,0.6948772072792053,0.7221135497093201,0.027236342430114746,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,3,75,0.5137242078781128,0.0060837240889668465,0.696214497089386,0.7240145802497864,0.02780008316040039,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,3,76,0.6252214312553406,0.0048636202700436115,0.6945493221282959,0.7215844988822937,0.027035176753997803,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,3,77,0.7290664315223694,0.004199558403342962,0.6972428560256958,0.7210894823074341,0.02384662628173828,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,3,78,5.394568920135498,0.005593834910541773,0.6942468881607056,0.7203153967857361,0.026068508625030518,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:0;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:0;700:1;1100:1;1500:1
8,0.9,lat,3,79,0.5521399974822998,0.006370916031301022,0.6949403882026672,0.7217280864715576,0.02678769826889038,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,4,74,0.34801992774009705,0.006004460155963898,0.6912578344345093,0.7176895141601562,0.026431679725646973,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,4,75,0.7970908284187317,0.004808104131370783,0.6886968612670898,0.7148857116699219,0.02618885040283203,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,4,76,0.08356839418411255,0.006136540323495865,0.6893311142921448,0.716407299041748,0.02707618474960327,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,4,77,0.3393697738647461,0.0034344051964581013,0.691338300704956,0.7152779698371887,0.023939669132232666,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,4,78,0.24572734534740448,0.006420705001801252,0.6889835000038147,0.7138441205024719,0.024860620498657227,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
8,0.9,lat,4,79,0.34445515275001526,0.006054336670786142,0.6930978894233704,0.7170071601867676,0.023909270763397217,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1,0:0;25:0;50:0;75:0;100:0;150:0;250:0;400:1;700:1;1100:1;1500:1
