n_over_m,sparsity,condition,top1_evr_mean,pr_mean,D_mean,interference_proxy
2,0.8,baseline,0.2910108284652233,6.482323832511902,0.45248127181550446,0.17692653666407673
2,0.8,input_at,0.30639474570751185,5.9334735321998595,0.4444880796475619,0.273456617641685
2,0.8,lat,0.2849412955343723,6.698608608245849,0.4874344745607823,0.22901822240722897
2,0.9,baseline,0.4014217612147331,4.853815236091614,0.45087677642703056,0.06663210771121497
2,0.9,input_at,0.398981578797102,4.904225826263428,0.4557180718222662,0.14534453473734238
2,0.9,lat,0.39700861990451813,5.0171370649337765,0.48006370747461913,0.07396362194858391
2,0.99,baseline,0.8518086445331573,1.3829716169834136,0.43094292014837265,0.07199687783148932
2,0.99,input_at,0.8534477084875107,1.374793246984482,0.448106153011322,0.04886603050994888
2,0.99,lat,0.8505677700042724,1.38561954498291,0.4525521239638329,0.09468679531196036
4,0.8,baseline,0.23461522355675693,7.4106483340263365,0.2218483313709282,0.25163093583549506
4,0.8,input_at,0.2579713263362646,6.731832515001297,0.2194950429541735,0.27112928433121153
4,0.8,lat,0.21731443390250202,7.71964745759964,0.24314310280109236,0.2904580953042291
4,0.9,baseline,0.29670008070766923,6.553749399185181,0.2260350106647024,0.22029495165741095
4,0.9,input_at,0.297437335178256,6.490220744609832,0.22599248901317023,0.24074983247034995
4,0.9,lat,0.27919344425201414,6.939007036685943,0.23679568433359477,0.24146518198350936
4,0.99,baseline,0.7218054161965847,1.9657806360721588,0.22692848715931174,0.10206281078056946
4,0.99,input_at,0.6529752077907324,2.6758691948652267,0.22885821145546967,0.15591694391185656
4,0.99,lat,0.6904716522991657,2.2950698637962343,0.2376135990166494,0.13130115086971494
8,0.8,baseline,0.2292714342847466,7.580717378854752,0.10984962512751847,0.19446261710295762
8,0.8,input_at,0.2934401110559702,5.878139253258706,0.09097014922384712,0.18341785563106713
8,0.8,lat,0.20040232967585322,8.018699404001236,0.11591252610806162,0.21423500327410863
8,0.9,baseline,0.2554083067923784,7.206296494603157,0.11122533682061997,0.18938732125042534
8,0.9,input_at,0.282294894978404,6.458500220775604,0.10537794790227391,0.19229410963862079
8,0.9,lat,0.23644179333001372,7.65219549536705,0.11525727129521866,0.19984942724589508
8,0.99,baseline,0.5161451665684581,3.7224947115778924,0.11180919774958963,0.12806069321919009
8,0.99,input_at,0.5112847287580371,3.5841305282711984,0.10802325404401725,0.15428660959253773
8,0.99,lat,0.49067997571080924,3.9868488612771036,0.11808934927427796,0.14868267523607945
